"","year","geography","grade","N","vax","value","percent_surveyed"
"1","2019-20","Indiana","Kindergarten",88253,"polio","90.4",65.7
"2","2018-19","Indiana","Kindergarten",82324,"polio","91.3",96.4
"3","2016-17","Indiana","Kindergarten",83263,"polio","89.5",80.3
"4","2017-18","Indiana","Kindergarten",84296,"polio","92.7",96.4
"5","2015-16","Indiana","Kindergarten",83525,"polio","89.7",69.5
"6","2014-15","Indiana","Kindergarten",85477,"polio","89.7",70.1
"7","2013-14","Indiana","Kindergarten",87193,"polio","90.0",70.3
"8","2012-13","Indiana","Kindergarten",86983,"polio","93.4",83.4
"9","2020-21","Indiana","Kindergarten",78694,"polio","89.9",71.4
"10","2021-22","Indiana","Kindergarten",83198,"polio","89.3",75.1
"11","2015-16","Indiana","Kindergarten",83525,"dtap","92.6",69.5
"12","2014-15","Indiana","Kindergarten",85477,"dtap","92.7",70.1
"13","2016-17","Indiana","Kindergarten",83263,"dtap","92.1",80.3
"14","2015-16","Indiana","Kindergarten",83525,"mmr","89.2",69.5
"15","2014-15","Indiana","Kindergarten",85477,"mmr","89.3",70.1
"16","2013-14","Indiana","Kindergarten",87193,"mmr","92.9",70.3
"17","2012-13","Indiana","Kindergarten",86983,"mmr","95.4",83.4
"18","2011-12","Indiana","Kindergarten",83416,"mmr","93.3",67.5
"19","2010-11","Indiana","Kindergarten",NA,"mmr",NA,NA
"20","2009-10","Indiana","Kindergarten",84390,"mmr","92.8",94.7
"21","2009-10","Indiana","Kindergarten",84390,"dtap","91.1",94.7
"22","2021-22","Indiana","Kindergarten",83198,"mmr","92.1",75.1
"23","2016-17","Indiana","Kindergarten",83263,"mmr","88.9",80.3
"24","2019-20","Indiana","Kindergarten",88253,"mmr","94.4",65.7
"25","2020-21","Indiana","Kindergarten",78694,"mmr","93.1",71.4
"26","2017-18","Indiana","Kindergarten",84296,"mmr","90.4",96.4
"27","2018-19","Indiana","Kindergarten",82324,"mmr","91.2",96.4
"28","2013-14","Indiana","Kindergarten",87193,"dtap","81.8",70.3
"29","2012-13","Indiana","Kindergarten",86983,"dtap","90.1",83.4
"30","2011-12","Indiana","Kindergarten",83416,"dtap","90.2",67.5
"31","2010-11","Indiana","Kindergarten",NA,"dtap",NA,NA
"32","2020-21","Indiana","Kindergarten",78694,"varicella","92.8",71.4
"33","2021-22","Indiana","Kindergarten",83198,"varicella","91.7",75.1
"34","2022-23","Indiana","Kindergarten",81307,"hep_b","94.4",87.5
"35","2022-23","Indiana","Kindergarten",81307,"varicella","91.6",87.5
"36","2022-23","Indiana","Kindergarten",81307,"varicella","91.6",87.5
"37","2022-23","Indiana","Kindergarten",81307,"polio","88.8",87.5
"38","2022-23","Indiana","Kindergarten",81307,"dtap","83.0",87.5
"39","2022-23","Indiana","Kindergarten",81307,"varicella","NReq",87.5
"40","2022-23","Indiana","Kindergarten",81307,"mmr","92.0",87.5
